,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
5634,Fulcrum Worldwide Software,4.1,128,IT Services & Consulting,Jersey City +1 more,501-1k Employees
5635,STANPLUS TECHNOLOGIES,3.3,128,Healthcare,Hyderabad +18 more,11-50 Employees
5636,CL Educate,3.8,128,Education & Training,Delhi/NCR +22 more,501-1k Employees
5637,Meitra Hospital,4.6,128,Healthcare,Kozhikode +4 more,1k-5k Employees (Global)
5638,Revolut,3.0,128,Internet,London +5 more,Startup
5639,Campus Activewear,4.3,128,Fashion & Textile,New Delhi +20 more,1k-5k Employees
5640,Absolute Barbecues,4.1,128,Hospitality,Hyderabad/Secunderabad +18 more,201-500 Employees
5641,Aagna Global Solutions,3.6,127,BPO,Chennai +4 more,201-500 Employees (Global)
5642,Norwegian Cruise Line,4.5,127,Travel & Tourism,Mumbai +10 more,501-1k Employees
5643,Centelon,4.4,127,IT Services & Consulting,Pune +7 more,201-500 Employees
5644,Hindustan PowerProjects,3.7,127,Power,New Delhi +10 more,1-10 Employees
5645,Donear Industries,3.3,127,Fashion & Textile,Mumbai +9 more,1k-5k Employees
5646,Dew Solutions,3.8,127,IT Services & Consulting,Gurgaon/Gurugram +7 more,201-500 Employees
5647,Jeena & Company,4.1,127,Logistics,Gurgaon/Gurugram +22 more,1k-5k Employees
5648,Q3 Technologies,4.1,127,IT Services & Consulting,Gurgaon/Gurugram +6 more,501-1k Employees
5649,Rishabh Software,4.0,127,Software Product,Vadodara +3 more,501-1k Employees
5650,Shipping Corporation of India,3.6,127,Logistics,Mumbai +8 more,1k-5k Employees
5651,Tata Main Hospital,3.7,127,Healthcare,Jamshedpur +6 more,1k-5k Employees (Global)
5652,RGBSI,3.8,127,Software Product,Bengaluru/Bangalore +7 more,201-500 Employees
5653,Astegic,4.1,127,IT Services & Consulting,Jaipur +1 more,51-200 Employees
5654,Kh Exports,3.7,127,Import & Export,Chennai +5 more,5k-10k Employees
5655,HyFun Foods,4.4,127,Food Processing,Ahmedabad +13 more,501-1k Employees
5656,Pothys,4.0,127,Fashion & Textile,Chennai +15 more,501-1k Employees
5657,RJ Corp,3.7,127,Retail,Gurgaon/Gurugram +29 more,51-200 Employees
5658,SECON Private Limited Bangalore INDIA,3.4,127,Engineering & Construction,Bengaluru/Bangalore +14 more,201-500 Employees
5659,ABC Bearings,4.0,127,Auto Components,Bharuch +22 more,201-500 Employees
5660,Btl Epc,3.1,127,Industrial Machinery,Kolkata +13 more,501-1k Employees
5661,Media.net Software Services (India),4.2,127,Marketing & Advertising,Dubai +4 more,1k-5k Employees
5662,Sri Chaitanya Schools,3.9,127,Education & Training,Hyderabad +37 more,11-50 Employees
5663,PrepLadder,3.4,127,EdTech,Panchkula +9 more,501-1k Employees
5664,SkillCircle,4.9,127,EdTech,New Delhi +4 more,51-200 Employees
5665,RACL Geartech,4.0,127,Auto Components,Noida +6 more,201-500 Employees
5666,Birla Cellulose,3.9,127,Pulp & Paper,Surat +11 more,201-500 Employees
5667,Talentica Software,4.2,127,IT Services & Consulting,Pune +1 more,201-500 Employees
5668,Narayana Medical College & Hospital,3.8,127,Healthcare,Nellore +7 more,1k-5k Employees
5669,IFB Agro Industries,4.2,127,Beverage,Kolkata +24 more,1k-5k Employees
5670,India Power Corporation,3.3,127,Power,Kolkata +6 more,201-500 Employees
5671,Kapston Facilities Management,4.1,127,Facility Management Services,Hyderabad +21 more,501-1k Employees
5672,Tirupati Group,4.0,127,Pharma,Sirmour +10 more,1k-5k Employees
5673,RGBSI,3.8,127,Software Product,Troy +7 more,201-500 Employees
5674,Sigachi Industries,3.8,127,Pharma,Hyderabad +10 more,51-200 Employees
5675,Maya Academy of Advanced Cinematics,3.6,127,Animation & VFX,Mumbai +36 more,501-1k Employees
5676,Sundaram Home Finance,4.2,127,NBFC,Chennai +48 more,1k-5k Employees
5677,Yubi,2.3,127,Financial Services,Chennai +7 more,501-1k Employees
5678,DTC Projects,3.8,127,Real Estate,Kolkata +8 more,51-200 Employees
5679,Analytix Business Solutions,3.6,127,BPO,Woburn +4 more,501-1k Employees
